"x"
6
18
11
6
15
8
7
4
9
11
12
8
21
11
6
4
14
12
21
5
13
16
11
14
5
7
11
11
13
4
3
4
6
6
12
6
7
7
6
2
10
4
4
3
2
2
15
3
7
15
2
2
5
6
12
6
3
7
12
7
6
11
6
24
3
3
5
22
3
4
8
2
2
4
3
12
16
9
2
6
3
5
3
10
29
5
10
6
6
9
5
4
9
4
9
13
3
10
8
4
20
8
12
24
7
18
5
3
8
7
5
8
4
9
12
7
3
10
4
3
4
13
16
6
4
12
2
9
3
3
3
14
6
9
5
12
2
10
13
7
14
2
10
5
3
10
2
4
8
7
12
9
7
4
10
7
8
8
15
15
2
7
2
13
21
5
10
5
17
9
9
14
8
16
13
3
7
14
17
6
5
21
12
9
12
7
32
8
10
13
4
2
3
4
6
9
6
10
10
7
5
5
5
7
15
7
9
20
8
9
2
9
2
10
2
6
9
9
2
4
8
2
4
8
12
8
12
10
16
4
5
12
5
6
4
5
17
11
7
11
7
5
10
5
10
2
2
6
16
15
11
11
6
9
6
9
14
2
7
12
5
7
3
5
4
5
11
10
2
8
3
23
9
16
6
10
12
2
8
8
4
9
3
11
14
7
6
7
15
5
2
10
10
14
3
3
18
5
19
11
17
17
8
6
16
6
2
7
8
13
22
14
11
3
13
7
10
13
7
7
4
8
13
4
9
10
7
9
3
9
13
4
6
6
10
5
11
4
8
2
6
3
14
8
6
3
2
2
5
21
6
5
6
4
9
12
7
16
9
4
11
2
4
6
4
7
4
7
8
6
18
3
10
10
14
17
11
2
6
20
14
5
10
6
16
2
8
14
13
21
4
7
8
4
2
15
7
8
5
6
11
19
2
2
15
9
2
7
6
14
14
20
9
8
6
4
6
15
12
5
13
21
3
3
8
2
7
4
15
7
10
8
12
14
7
5
18
3
3
3
2
8
5
5
17
5
4
2
2
9
4
2
7
2
5
14
25
6
17
7
7
14
6
6
4
5
11
8
2
9
13
3
13
8
13
8
14
8
4
15
12
5
8
15
4
13
18
12
6
5
5
8
6
24
2
10
7
13
9
2
4
9
8
13
22
9
16
16
11
5
6
4
5
4
2
3
2
3
9
11
24
5
11
7
3
18
5
2
11
7
4
7
21
3
5
8
14
7
2
8
19
12
13
3
7
13
7
11
7
6
22
6
5
8
4
24
13
2
4
12
3
4
18
6
5
19
15
5
4
11
7
2
3
16
12
6
8
7
12
20
9
11
8
13
15
11
12
8
5
12
3
6
16
9
9
10
9
19
4
4
14
9
5
7
5
2
17
11
3
9
5
4
16
7
6
2
5
10
4
9
8
7
8
9
15
8
3
13
3
2
15
17
3
7
21
6
6
5
8
8
9
11
4
6
22
16
11
8
11
12
8
6
4
5
6
4
13
9
5
4
8
16
14
5
7
3
5
15
8
7
31
6
15
7
3
7
3
13
9
13
10
10
6
8
7
28
8
3
9
11
8
5
11
13
5
9
17
7
12
7
3
10
6
7
19
24
8
4
8
6
8
4
12
26
7
4
2
4
6
3
18
7
15
7
27
3
3
3
9
12
2
4
3
16
2
8
8
4
15
9
15
5
7
6
15
10
6
2
8
10
9
21
15
14
6
7
8
2
2
5
12
2
11
17
16
11
14
8
12
11
14
5
2
9
12
11
10
8
3
10
27
9
12
14
7
8
5
10
4
5
20
7
16
10
19
2
5
7
13
16
8
9
7
3
4
5
7
4
19
2
2
7
5
13
9
13
16
2
14
15
8
10
7
13
7
14
4
4
17
8
5
10
11
6
9
16
9
7
4
15
16
14
4
3
5
10
15
3
5
2
7
20
11
13
5
3
3
6
11
7
13
6
15
8
10
8
7
6
5
13
7
14
8
6
6
8
10
6
14
6
7
2
5
11
13
5
2
2
2
17
5
4
2
8
5
2
2
10
12
15
4
10
11
7
4
15
17
4
